trip_id,arrival_time,departure_time,stop_id,stop_sequence
10106110,06:00:00,06:00:43,0110BAA,1
10106110,06:00:57,06:01:49,0110BNI,2
10106110,06:02:05,06:02:50,0110UMK,3
10106110,06:03:09,06:03:47,0110AEA,4
10106110,06:04:23,06:05:02,0100MOM,5
10106110,06:05:28,06:06:07,0100LIK,6
10106110,06:06:43,06:07:18,0100CHL,7
10106110,06:07:38,06:08:20,0100VIN,8
10106110,06:08:59,06:09:34,0100NJT,9
10106110,06:10:38,06:11:13,0100SHT,10
10106110,06:12:20,06:12:58,0110TVM,11
10106110,06:13:31,06:14:12,0100KSS,12
10106110,06:14:40,06:15:19,0100MIS,13
10106110,06:15:43,06:16:17,0100LSM,14
10106110,06:16:59,06:17:45,0100TTM,15
10106110,06:18:02,06:18:56,0100NAM,16
10106110,06:19:29,06:20:04,0110WAM,17
10106110,06:20:35,06:21:11,0100GUG,18
10106110,06:21:51,06:22:28,0100PEF,19
10106110,06:23:07,06:23:47,0110GTH,20
10106110,06:24:44,06:25:25,0100VEV,21
10106110,06:25:55,06:26:35,0110PBS,22
10106110,06:27:18,06:27:49,0100RBJ,23
10106110,06:28:29,06:29:19,0100DPA,24
10106110,06:29:50,06:30:29,0100NSO,25
10106110,06:30:46,06:31:26,0110ROS,26
10106110,06:31:44,06:32:23,0100MRC,27
10106110,06:33:43,06:34:30,0110RRS,28
10106110,06:35:38,06:36:15,0100RRP,29
10106110,06:37:06,06:37:45,0100RES,30
10106110,06:38:21,06:39:02,0100RKH,31
10106110,06:41:06,06:41:50,0110VMT,32
10106110,06:42:47,06:43:26,0100RRJ,33
10106110,06:45:09,06:45:47,0110UNA,34
10106110,06:46:53,06:47:43,0110SSA,35
10106110,06:49:06,06:49:46,0110R/B,36
10106110,06:51:02,06:51:46,0110MTS,37
10106110,06:53:50,06:54:38,0110IDR,38
10106110,06:54:59,06:55:37,0110RTU,39
10106110,06:56:04,06:56:47,0100TCP,40
10106110,06:57:18,06:57:54,0110HUN,41
10106110,06:58:33,06:59:05,0110TPA,42
10106110,06:59:27,07:00:08,0110AAN,43
10106110,07:00:50,07:01:31,0110AGK,44
10106110,07:02:34,07:03:11,0110PMA,45
10106110,07:03:53,07:04:37,0110HHH,46
10106110,07:05:16,07:05:53,0110IRT,47
10106110,07:06:40,07:07:20,0110SAI,48
10106110,07:08:27,07:09:04,0800NGR,49
10106110,07:10:06,07:10:49,0102KHJ,50
10106111,06:00:00,06:00:46,0102KHJ,1
10106111,06:02:05,06:02:42,0811ANG,2
10106111,06:03:20,06:04:00,0101JHS,3
10106111,06:04:56,06:05:34,0101STP,4
10106111,06:05:54,06:06:35,0111SPS,5
10106111,06:07:07,06:07:38,0101WBR,6
10106111,06:08:20,06:08:55,0101AGA,7
10106111,06:09:27,06:10:04,0111OLB,8
10106111,06:10:50,06:11:20,0111ACP,9
10106111,06:11:48,06:12:24,0101CPK,10
10106111,06:12:50,06:13:29,0111ATA,11
10106111,06:13:57,06:14:34,0111RHK,12
10106111,06:16:42,06:17:26,0111GIM,13
10106111,06:18:49,06:19:21,0111BEK,14
10106111,06:21:14,06:22:00,0111KOG,15
10106111,06:22:26,06:22:55,0111TUN,16
10106111,06:24:44,06:25:18,0111RHR,17
10106111,06:26:38,06:27:07,0111VMA,18
10106111,06:28:27,06:29:04,0111AES,19
10106111,06:29:46,06:30:30,0111KRU,20
10106111,06:31:07,06:31:37,0101REE,21
10106111,06:32:09,06:32:53,0101ROR,22
10106111,06:33:19,06:33:59,0101ROK,23
10106111,06:35:06,06:35:50,0111TOE,24
10106111,06:37:10,06:37:48,0101SHR,25
10106111,06:38:09,06:38:53,0111OLS,26
10106111,06:39:26,06:40:14,0101DPB,27
10106111,06:40:54,06:41:33,0111AAR,28
10106111,06:41:49,06:42:20,0101RKJ,29
10106111,06:42:58,06:43:38,0111YSB,30
10106111,06:44:03,06:44:46,0101CAV,31
10106111,06:45:26,06:46:01,0111SAR,32
10106111,06:46:42,06:47:28,0111KEA,33
10106111,06:48:00,06:48:32,0101MUC,34
10106111,06:49:13,06:49:56,0101GOG,35
10106111,06:50:38,06:51:10,0111JEK,36
10106111,06:51:36,06:52:13,0101NTO,37
10106111,06:52:48,06:53:23,0101MCC,38
10106111,06:53:45,06:54:20,0101LSC,39
10106111,06:54:43,06:55:18,0101MIC,40
10106111,06:55:44,06:56:25,0101MDS,41
10106111,06:57:04,06:57:45,0111KIV,42
10106111,06:58:36,06:59:14,0111TRI,43
10106111,06:59:34,07:00:20,0101SHT,44
10106111,07:01:09,07:01:58,0101NJK,45
10106111,07:02:23,07:03:03,0101KAT,46
10106111,07:03:43,07:04:23,0101VRY,47
10106111,07:04:41,07:05:12,0111BAG,48
10106111,07:05:48,07:06:25,0101ZAK,49
10106111,07:06:41,07:07:22,0101LIK,50
10106111,07:07:43,07:08:24,0101MOM,51
10106111,07:09:00,07:09:35,0111SNH,52
10106111,07:09:51,07:10:30,0101MKB,53
10106111,07:10:48,07:11:27,0101KOB,54
10106111,07:11:48,07:12:34,0113BAA,55
10107110,06:00:00,06:00:51,0110KRS,1
10107110,06:01:44,06:02:22,0110REU,2
10107110,06:04:00,06:04:47,0100VDA,3
10107110,06:05:22,06:06:02,0100NDT,4
10107110,06:06:20,06:06:55,0110NGP,5
10107110,06:07:34,06:08:06,0110NSG,6
10107110,06:09:07,06:09:54,0100NKD,7
10107110,06:10:25,06:11:05,0100REE,8
10107110,06:11:30,06:12:13,0100CTC,9
10107110,06:12:57,06:13:38,0100ASD,10
10107110,06:14:02,06:14:37,0110AST,11
10107110,06:15:12,06:15:50,0100RYA,12
10107110,06:16:31,06:17:10,0110CEJ,13
10107110,06:18:12,06:18:49,0110AIG,14
10107110,06:19:26,06:19:59,0100MFB,15
10107110,06:20:31,06:21:12,0100BLD,16
10107110,06:21:41,06:22:20,0100EIE,17
10107110,06:22:59,06:23:40,0110PMT,18
10107110,06:24:41,06:25:19,0100JYL,19
10107110,06:26:12,06:26:52,0100SLG,20
10107110,06:27:09,06:27:50,0100RCN,21
10107110,06:28:18,06:28:59,0100RRD,22
10107110,06:29:25,06:30:16,0100KTC,23
10107110,06:30:40,06:31:15,0100CBR,24
10107110,06:31:42,06:32:25,0100RBJ,25
10107110,06:33:05,06:33:45,0100DPA,26
10107110,06:34:16,06:34:59,0100NSO,27
10107110,06:35:25,06:36:05,0100MRC,28
10107110,06:36:50,06:37:36,0110REV,29
10107110,06:39:00,06:39:33,0110CUT,30
10107110,06:40:02,06:40:45,0100RRP,31
10107110,06:41:36,06:42:18,0100RES,32
10107110,06:42:54,06:43:39,0100RKH,33
10107110,06:45:43,06:46:20,0110VMT,34
10107110,06:47:17,06:47:57,0100RRJ,35
10107110,06:49:40,06:50:17,0110UNA,36
10107110,06:52:34,06:53:14,0110R/B,37
10107110,06:54:30,06:55:03,0110MTS,38
10107110,06:57:16,06:57:58,0100VLU,39
10107110,06:58:26,06:59:11,0100TCP,40
10107110,06:59:42,07:00:20,0110YSP,41
10107110,07:00:58,07:01:38,0110TPA,42
10107110,07:02:01,07:02:40,0110YIL,43
10107110,07:03:21,07:04:05,0110AGK,44
10107110,07:05:09,07:05:55,0110ASP,45
10107110,07:06:39,07:07:13,0100RGH,46
10107110,07:07:51,07:08:31,0110IRT,47
10107110,07:09:19,07:09:49,0100MCO,48
10107110,07:10:54,07:11:39,0800NGR,49
10107110,07:13:09,07:14:00,0212SNT,50
10107111,06:00:00,06:00:50,0212SNT,1
10107111,06:02:29,06:03:15,0811ANG,2
10107111,06:03:53,06:04:37,0101JHS,3
10107111,06:05:33,06:06:13,0101STP,4
10107111,06:06:33,06:07:18,0111SPS,5
10107111,06:07:50,06:08:27,0101WBR,6
10107111,06:09:09,06:09:43,0101AGA,7
10107111,06:10:15,06:11:03,0111OLB,8
10107111,06:12:07,06:12:52,0101CPK,9
10107111,06:13:37,06:14:16,0111RHK,10
10107111,06:16:23,06:17:10,0111AIT,11
10107111,06:18:34,06:19:16,0111BEK,12
10107111,06:21:23,06:22:02,0111TUN,13
10107111,06:23:51,06:24:34,0111RHR,14
10107111,06:25:54,06:26:38,0111VMA,15
10107111,06:28:30,06:29:07,0111KRU,16
10107111,06:29:44,06:30:26,0101REE,17
10107111,06:30:58,06:31:34,0101ROR,18
10107111,06:32:00,06:32:38,0101ROK,19
10107111,06:34:55,06:35:38,0101SHR,20
10107111,06:36:22,06:36:55,0101DPB,21
10107111,06:37:42,06:38:24,0111RST,22
10107111,06:38:59,06:39:46,0101RCK,23
10107111,06:40:21,06:41:04,0101RDC,24
10107111,06:41:28,06:42:01,0101RCC,25
10107111,06:42:26,06:43:09,0111BPY,26
10107111,06:43:41,06:44:12,0101SLT,27
10107111,06:44:33,06:45:15,0111LON,28
10107111,06:45:53,06:46:35,0101PMR,29
10107111,06:47:12,06:47:45,0101PMV,30
10107111,06:48:16,06:49:01,0111MCM,31
10107111,06:50:04,06:50:50,0101KTO,32
10107111,06:51:33,06:52:14,0111IGA,33
10107111,06:53:01,06:53:42,0101GRJ,34
10107111,06:54:25,06:55:07,0101RMY,35
10107111,06:55:41,06:56:12,0111AMB,36
10107111,06:56:33,06:57:16,0101AME,37
10107111,06:58:02,06:58:38,0101CHC,38
10107111,06:59:05,06:59:43,0101FRK,39
10107111,07:00:25,07:01:08,0101OTA,40
10107111,07:01:39,07:02:13,0111NDS,41
10107111,07:03:00,07:03:38,0101REN,42
10107111,07:04:03,07:04:37,0101NDJ,43
10107111,07:05:08,07:05:52,0111RNE,44
