route_id,service_id,trip_id,shape_id
10000107D11,DAILY,1107D110,1107D110
10000107D11,DAILY,1107D111,1107D111
10000114011,DAILY,10114110,10114110
10000114011,DAILY,10114111,10114111
10000116011,DAILY,10116110,10116110
10000116011,DAILY,10116111,10116111
10100011A11,DAILY,1011A110,1011A110
10100011A11,DAILY,1011A111,1011A111
10200010811,DAILY,10108110,10108110
10200010811,DAILY,10108111,10108111
10300011F11,DAILY,1011F110,1011F110
10300011F11,DAILY,1011F111,1011F111
10300106011,DAILY,10106110,10106110
10300106011,DAILY,10106111,10106111
10400010711,DAILY,10107110,10107110
10400010711,DAILY,10107111,10107111
20000002311,DAILY,20023110,20023110
20000002311,DAILY,20023111,20023111
20000004511,DAILY,20045110,20045110
20000004511,DAILY,20045111,20045111
20000004512,DAILY,20045120,20045120
20000004512,DAILY,20045121,20045121
20000004513,DAILY,20045130,20045130
20000004513,DAILY,20045131,20045131
20000145011,DAILY,20145110,20145110
20000145011,DAILY,20145111,20145111
20000237011,DAILY,20237110,20237110
20000237011,DAILY,20237111,20237111
20100010011,DAILY,20100110,20100110
20100010011,DAILY,20100111,20100111
20100012011,DAILY,20120110,20120110
20100012011,DAILY,20120111,20120111
20100012111,DAILY,20121110,20121110
20100012111,DAILY,20121111,20121111
20100100A11,DAILY,2100A110,2100A110
20100100A11,DAILY,2100A111,2100A111
20400005311,DAILY,20053110,20053110
20400005311,DAILY,20053111,20053111
20700145D01,DAILY,20000720,20000720
20700145D01,DAILY,20000721,20000721
20701293011,DAILY,22930110,22930110
20701293011,DAILY,22930111,22930111
20702000611,DAILY,20006110,20006110
20702000611,DAILY,20006111,20006111
20800203001,DAILY,22030110,22030110
20800203001,DAILY,22030111,22030111
20801002511,DAILY,20025110,20025110
20801002511,DAILY,20025111,20025111
20801025A11,DAILY,2025A110,2025A110
20801025A11,DAILY,2025A111,2025A111
20807042011,DAILY,20042110,20042110
20807042011,DAILY,20042111,20042111
20901043011,DAILY,20043110,20043110
20901043011,DAILY,20043111,20043111
21000004911,DAILY,20049110,20049110
21000004911,DAILY,20049111,20049111
21000017B11,DAILY,2017B110,2017B110
21000017B11,DAILY,2017B111,2017B111
21100004411,DAILY,20044110,20044110
21100004411,DAILY,20044111,20044111
21100004412,DAILY,20044120,20044120
21100004412,DAILY,20044121,20044121
21100004421,DAILY,20044210,20044210
21100004421,DAILY,20044211,20044211
21200017B12,DAILY,2017B120,2017B120
21200017B12,DAILY,2017B121,2017B121
30000004611,DAILY,30046110,30046110
30000004611,DAILY,30046111,30046111
30000046B11,DAILY,3046B110,3046B110
30000046B11,DAILY,3046B111,3046B111
30007004111,DAILY,30041110,30041110
30007004111,DAILY,30041111,30041111
30100000711,DAILY,30007110,30007110
30100000711,DAILY,30007111,30007111
30100011C11,DAILY,3011C110,3011C110
30100011C11,DAILY,3011C111,3011C111
30101000311,DAILY,30003110,30003110
30101000311,DAILY,30003111,30003111
30600017A11,DAILY,3017A110,3017A110
30600017A11,DAILY,3017A111,3017A111
30600018C11,DAILY,3018C110,3018C110
30600018C11,DAILY,3018C111,3018C111
30600186211,DAILY,31862110,31862110
30600186211,DAILY,31862111,31862111
30603373812,DAILY,33738110,33738110
30603373812,DAILY,33738111,33738111
30800001411,DAILY,30014110,30014110
30800001411,DAILY,30014111,30014111
30800002811,DAILY,30028110,30028110
30800002811,DAILY,30028111,30028111
30907003211,DAILY,30032110,30032110
30907003211,DAILY,30032111,30032111
40100003311,DAILY,40033110,40033110
40100003311,DAILY,40033111,40033111
40101040501,DAILY,40405210,40405210
40101040501,DAILY,40405211,40405211
40102040511,DAILY,40405110,40405110
40102040511,DAILY,40405111,40405111
40200000601,DAILY,40006110,40006110
40200000601,DAILY,40006111,40006111
40201002311,DAILY,40023110,40023110
40201002311,DAILY,40023111,40023111
40301707111,DAILY,47071110,47071110
40301707111,DAILY,47071111,47071111
40401001011,DAILY,40010110,40010110
40401001011,DAILY,40010111,40010111
40403002611,DAILY,40026210,40026210
40403002611,DAILY,40026211,40026211
40501002611,DAILY,40026110,40026110
40501002611,DAILY,40026111,40026111
40601003611,DAILY,40036110,40036110
40601003611,DAILY,40036111,40036111
40601005811,DAILY,40058110,40058110
40601005811,DAILY,40058111,40058111
40700003311,DAILY,40033210,40033210
40700003311,DAILY,40033211,40033211
40700003411,DAILY,40034110,40034110
40700003411,DAILY,40034111,40034111
40700033C11,DAILY,40033510,40033510
40700033C11,DAILY,40033511,40033511
40701003311,DAILY,40033410,40033410
40701003311,DAILY,40033411,40033411
40702002001,DAILY,40020110,40020110
40702002001,DAILY,40020111,40020111
40702034B11,DAILY,4034B110,4034B110
40702034B11,DAILY,4034B111,4034B111
40702196111,DAILY,41961110,41961110
40702196111,DAILY,41961111,41961111
40702196112,DAILY,41961120,41961120
40702196112,DAILY,41961121,41961121
40703196011,DAILY,41960110,41960110
40703196011,DAILY,41960111,41960111
40704356001,DAILY,43560210,43560210
40704356001,DAILY,43560211,43560211
40704356011,DAILY,43560110,43560110
40704356011,DAILY,43560111,43560111
4070500SK11,DAILY,43560220,43560220
4070500SK11,DAILY,43560221,43560221
40705017A01,DAILY,4017A110,4017A110
40705017A01,DAILY,4017A111,4017A111
40705019C11,DAILY,4019C120,4019C120
40705019C11,DAILY,4019C121,4019C121
4070519C211,DAILY,4019C210,4019C210
4070519C211,DAILY,4019C211,4019C211
40705383911,DAILY,43839110,43839110
40705383911,DAILY,43839111,43839111
50000002412,DAILY,50024210,50024210
50000002412,DAILY,50024211,50024211
50100001111,DAILY,50011110,50011110
50100001111,DAILY,50011111,50011111
50100001121,DAILY,50011120,50011120
50100001121,DAILY,50011121,50011121
50201014A11,DAILY,5014A110,5014A110
50201014A11,DAILY,5014A111,5014A111
50201014B11,DAILY,5014B110,5014B110
50201014B11,DAILY,5014B111,5014B111
50203001611,DAILY,50016110,50016110
50203001611,DAILY,50016111,50016111
50204001511,DAILY,50015110,50015110
50204001511,DAILY,50015111,50015111
50205012511,DAILY,50125110,50125110
50205012511,DAILY,50125111,50125111
50205012601,DAILY,50126210,50126210
50205012601,DAILY,50126211,50126211
50205012611,DAILY,50126110,50126110
50205012611,DAILY,50126111,50126111
50206002411,DAILY,50024110,50024110
50206002411,DAILY,50024111,50024111
50300012C11,DAILY,5012C110,5012C110
50300012C11,DAILY,5012C111,5012C111
50301012D11,DAILY,5012D110,5012D110
50301012D11,DAILY,5012D111,5012D111
50600003311,DAILY,50033110,50033110
50600003311,DAILY,50033111,50033111
50600033A11,DAILY,50033160,50033610
50600033A11,DAILY,50033161,50033611
50700003311,DAILY,50033310,50033310
50700003311,DAILY,50033311,50033311
50700014501,DAILY,50145110,50145110
50700014501,DAILY,50145111,50145111
50700033H01,DAILY,50033270,50033270
50700033H01,DAILY,50033271,50033271
50701003311,DAILY,50033130,50033130
50701003311,DAILY,50033131,50033131
50702003311,DAILY,50033140,5033140
50702003311,DAILY,50033141,5033141
50703033C11,DAILY,5033C180,5033C180
50703033C11,DAILY,5033C181,5033C181
50703033J01,DAILY,50033260,50033260
50703033J01,DAILY,50033261,50033261
50800011011,DAILY,50110110,50110110
50800011011,DAILY,50110111,50110111
50901011011,DAILY,50110120,50110210
50901011011,DAILY,50110121,50110211
50901011012,DAILY,50110210,50110120
50901011012,DAILY,50110211,50110121
60000004611,DAILY,60046210,60046120
60000004611,DAILY,60046211,60046121
60101007C11,DAILY,6007C110,6007C110
60101007C11,DAILY,6007C111,6007C111
60200004611,DAILY,60046110,60046110
60200004611,DAILY,60046111,60046111
60201005611,DAILY,60056110,60056110
60201005611,DAILY,60056111,60056111
70000000311,DAILY,70003110,70003210
70000000311,DAILY,70003111,70003211
70000010311,DAILY,70103110,70103210
70000010311,DAILY,70103111,70103211
70000012911,DAILY,70129110,70129110
70000012911,DAILY,70129111,70129111
70000203311,DAILY,70033110,70033110
70000203311,DAILY,70033111,70033111
70100203411,DAILY,70034110,70034110
70100203411,DAILY,70034111,70034111
70101013301,DAILY,70033210,70033210
70101013301,DAILY,70033211,70033211
70200000811,DAILY,70008110,70008110
70200000811,DAILY,70008111,70008111
70200003211,DAILY,70032110,70032110
70200003211,DAILY,70032111,70032111
70201024C11,DAILY,7024C110,7024C110
70201024C11,DAILY,7024C111,7024C111
70301000511,DAILY,70005110,70005110
70301000511,DAILY,70005111,70005111
70400011111,DAILY,70111110,70111110
70400011111,DAILY,70111111,70111111
70400012611,DAILY,70126110,70126110
70400012611,DAILY,70126111,70126111
70401000111,DAILY,70001110,70001110
70401000111,DAILY,70001111,70001111
70500004W11,DAILY,7004W110,7004W110
70500004W11,DAILY,7004W111,7004W111
70600010211,DAILY,70102110,70102110
70600010211,DAILY,70102111,70102111
70601000211,DAILY,70002110,70002110
70601000211,DAILY,70002111,70002111
80000002311,DAILY,80023110,80023110
80000002311,DAILY,80023111,80023111
80000011911,DAILY,80119110,80119110
80000011911,DAILY,80119111,80119111
80000114011,DAILY,80114110,80114110
80000114011,DAILY,80114111,80114111
80000115011,DAILY,80115110,80115110
80000115011,DAILY,80115111,80115111
80000119A11,DAILY,8119A110,8119A110
80000119A11,DAILY,8119A111,8119A111
80000135011,DAILY,80135110,81350110
80000135011,DAILY,80135111,81350111
80100011811,DAILY,80118110,80118110
80100011811,DAILY,80118111,80118111
80100048A11,DAILY,8048A110,8048A110
80100048A11,DAILY,8048A111,8048A111
80101004811,DAILY,80048110,80048110
80101004811,DAILY,80048111,80048111
80101048B11,DAILY,8048B110,8048B110
80101048B11,DAILY,8048B111,8048B111
80200004811,DAILY,80048210,80048210
80200004811,DAILY,80048211,80048211
80200048C11,DAILY,8048C110,8048C110
80200048C11,DAILY,8048C111,8048C111
80400003011,DAILY,80030110,80030110
80400003011,DAILY,80030111,80030111
80500010511,DAILY,80105110,80105110
80500010511,DAILY,80105111,80105111
