status,distance,duration,distance_from_start,duration_from_start,location,stop_id,trip_id
at_terminal,0.0,920.0,0.0,0.0,POINT (36.78602 -1.20722),0100RBJ,1011F110
travelling,0.278278065869524,40.0,0.278278065869524,960.0,"LINESTRING (36.78602008298463 -1.2072198511353895, 36.7864455 -1.207457, 36.786648 -1.207584, 36.787056 -1.20794, 36.787945781367554 -1.208802755048106)",,1011F110
at_stop,0.0,20.0,0.278278065869524,960.0,POINT (36.78782701 -1.208925247),0100DPA,1011F110
travelling,0.252507942599154,37.0,0.530786008468678,1017.0,"LINESTRING (36.787945781367554 -1.208802755048106, 36.7879503965 -1.20880723, 36.7886767449 -1.20951225058, 36.7891520262 -1.21001422405, 36.7895436287 -1.21035218239, 36.789579088518636 -1.2103855887760413)",,1011F110
at_stop,0.0,20.0,0.530786008468678,1017.0,POINT (36.78958386 -1.210380524),0110BDO,1011F110
travelling,0.0936214617733188,20.0,0.6244074702419967,1057.0,"LINESTRING (36.789579088518636 -1.2103855887760413, 36.79019323757549 -1.2109641732491074)",,1011F110
at_stop,0.0,20.0,0.6244074702419967,1057.0,POINT (36.79020882 -1.210947633),0100MRC,1011F110
travelling,0.6502918162734681,80.0,1.2746992865154647,1157.0,"LINESTRING (36.79019323757549 -1.2109641732491074, 36.79147 -1.212167, 36.791901 -1.212546, 36.7927086353 -1.21309876442, 36.794483 -1.214238, 36.79483464989631 -1.2145051238611029)",,1011F110
at_stop,0.0,20.0,1.2746992865154647,1157.0,POINT (36.79485977 -1.214472055),0110RRS,1011F110
travelling,0.5396826154275186,68.0,1.8143819019429834,1245.0,"LINESTRING (36.79483464989631 -1.2145051238611029, 36.7948758602 -1.21453642845, 36.7965441942 -1.21534109116, 36.796887517 -1.21548056602, 36.7980569601 -1.2157702446, 36.7982554436 -1.21583461761, 36.7986685038 -1.21603310108, 36.79921031 -1.21634960175, 36.79927632361903 -1.2163955190280435)",,1011F110
at_stop,0.0,20.0,1.8143819019429834,1245.0,POINT (36.79927468 -1.216397882),0100RRP,1011F110
travelling,0.3912200247391598,51.0,2.205601926682143,1316.0,"LINESTRING (36.79927632361903 -1.2163955190280435, 36.7996925 -1.216685, 36.8002080917 -1.21701478958, 36.800919 -1.21748, 36.801418 -1.21795, 36.8016028404 -1.21818959713, 36.801762 -1.218589, 36.801794572281096 -1.2187240745673829)",,1011F110
at_stop,0.0,20.0,2.205601926682143,1316.0,POINT (36.80177 -1.21873),0100RES,1011F110
travelling,0.24803134790963546,36.0,2.4536332745917786,1372.0,"LINESTRING (36.801794572281096 -1.2187240745673829, 36.8018066883 -1.2187743187, 36.801842 -1.219152, 36.801828146 -1.21944487095, 36.801763773 -1.21979355812, 36.8016145 -1.2202835, 36.801464 -1.22073, 36.801418022133056 -1.2209041991957081)",,1011F110
at_stop,0.0,20.0,2.4536332745917786,1372.0,POINT (36.80144 -1.22091),0100RKH,1011F110
